# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
23.600000 -3.320309e-02 -3.320309e-02 -3.320309e-02  4.179667e-16  2.089834e-16  2.089834e-16
23.700000 -3.558838e-02 -3.558838e-02 -3.558838e-02  0.000000e+00  4.874409e-16  4.874409e-16
23.800000 -3.766883e-02 -3.766883e-02 -3.766883e-02  1.842078e-16  6.447274e-16  4.605196e-16
23.900000 -3.942980e-02 -3.942980e-02 -3.942980e-02  2.639714e-16  4.399524e-16  1.759810e-16
24.000000 -4.085926e-02 -4.085926e-02 -4.085926e-02  8.491213e-17  2.547364e-16  1.698243e-16
24.100000 -4.194789e-02 -4.194789e-02 -4.194789e-02  8.270849e-17  8.270849e-17  1.654170e-16
24.200000 -4.268912e-02 -4.268912e-02 -4.268912e-02  0.000000e+00  4.063620e-16  4.063620e-16
24.300000 -4.307920e-02 -4.307920e-02 -4.307920e-02  8.053648e-17  3.221459e-16  2.416094e-16
24.400000 -4.311721e-02 -4.311721e-02 -4.311721e-02  8.046547e-17  8.046547e-17  1.609309e-16
24.500000 -4.280508e-02 -4.280508e-02 -4.280508e-02  8.105222e-17  4.052611e-16  3.242089e-16
24.600000 -4.214754e-02 -4.214754e-02 -4.214754e-02  1.646334e-16  8.231672e-17  2.469501e-16
24.700000 -4.115209e-02 -4.115209e-02 -4.115209e-02  9.273871e-16  1.180311e-15  2.529238e-16
24.800000 -3.982894e-02 -3.982894e-02 -3.982894e-02  3.484348e-16  5.226522e-16  1.742174e-16
24.900000 -3.819090e-02 -3.819090e-02 -3.819090e-02  9.084487e-17  9.084487e-17  0.000000e+00
25.000000 -3.625329e-02 -3.625329e-02 -3.625329e-02  9.570021e-17  1.914004e-16  9.570021e-17
25.100000 -3.403379e-02 -3.403379e-02 -3.403379e-02  1.192713e-14  1.192713e-14  0.000000e+00
25.200000 -3.155230e-02 -3.155230e-02 -3.155230e-02  9.786317e-15  9.566399e-15  2.199172e-16
